SlotID,EntityID,Capacity,Note
wed24-massmoca,museum-mass-moca,confirmed,Sol LeWitt/Kiefer/Turrell. Lunch: Trail House/A-OK BBQ/MoCA cafe.
wed24-dinner,food-no-comply-foods,confirmed,DINNER LOCKED. No reservations, daily menu. Wed-Sat 5-9.
wed24-dinner,food-mezze-bistro-and-bar,planB,Splurge alt, Williamstown.
thu25-chocworld,attraction-hersheys-chocolate-world,confirmed,Free factory tour + sample. Opens 9am.
thu25-coasters-am,attraction-hersheypark,confirmed,AM: Wildcat's Revenge, Skyrush. Head to back at open.
thu25-lunch,food-hersheypark-lunch,confirmed,Smash burgers/BBQ/concessions in park.
thu25-coasters-pm,attraction-hersheypark,confirmed,PM thrills: Candymonium/Storm Runner/Fahrenheit/Lightning Racer.
thu25-waterpark,attraction-hersheypark,confirmed,Boardwalk water park - Breakers Edge, Whitecap Racer.
thu25-drive,travel-drive-east-nyc,confirmed,Drive I-78 east. Plan B: Philly Gayborhood Pride drink (+1.5h).
thu25-latedinner,food-jr-and-son,planned,Williamsburg Italian-American, open till 11pm if back in time. Else local slice.
fri26-cloisters,museum-met-cloisters,confirmed,Medieval gardens + Unicorn Tapestries, then Fort Tryon/Inwood walk.
fri26-lunch,food-cocina-consuelo,confirmed,Salsa macha grilled cheese. Hamilton Heights.
fri26-lunch,food-passerine,planB,Union Square alt.
fri26-lunch,food-cervos,planB,Fallback.
fri26-highline,sight-the-high-line,confirmed,Elevated park walk.
fri26-vintage,vintage-procell,confirmed,LES vintage. Pair with Desert Vintage if time.
fri26-vintage,vintage-desert-vintage,planB,Second vintage stop.
fri26-dragmarch,event-nyc-drag-march,confirmed,Tompkins to Stonewall. Early dinner: Banh Anh Em/Passerine/Superiority Burger.
fri26-joespub,show-joes-pub,planned,2Scoops drag show at Joe's Pub.
fri26-parties,party-pure-honey,confirmed,Pure Honey Pride @ HOY (Mike Q, Kevin Aviance) 10pm-1am. Late food Veselka 24hr.
fri26-parties,party-black-market-marathon,planB,3DB Black Market 2-Yr 1-4am.
fri26-parties,club-sultan-room,planB,Sultan Room alt.
sat27-brunch,food-wenwen,confirmed,Taiwanese (BDSM Chicken).
sat27-brunch,food-kelloggs-diner,planB,Diner alt.
sat27-brunch,food-sunday-in-brooklyn,planB,Brunch alt.
sat27-riis,sight-jacob-riis-park,confirmed,Queer beach Bay 1. Lunch: Riis Park Beach Bazaar.
sat27-ladyland,event-ladyland,confirmed,Kim Petras/Romy/CupcakKe. Under the K Bridge. Buy via AXS.
sun28-pride,event-nyc-pride-march,confirmed,March noon (26th & 5th). Brunch S&P; Buvette after. PrideFest 4th Ave. Flight 7pm+.
stay-bklyn,accommodation-bklyn-house-hotel,confirmed,Jun 19-23. 9 Beaver St, Brooklyn.
stay-williamstown,accommodation-williamstown-airbnb,confirmed,Jun 22-25. 287 Luce Rd, Williamstown MA.
stay-cottage,accommodation-cottage-inn-grantville,confirmed,Jun 24-26. Pay there. Grantville PA.
stay-hotel1200,accommodation-hotel-1200,confirmed,Jun 25-29. 1200 Broadway, Brooklyn.
